source,year,pipe_type,description,diameter,material,method,unit,qty,unit_cost,unit_cost_bidder1,unit_cost_bidder2,unit_cost_bidder3,unit_cost_bidder4,unit_cost_bidder5
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,6-inch Sanitary Sewer (Pressure Rated),"6""",Unspecified,Open Cut,LF,108.0,170.0,170.0,100.0,90.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"6-inch diameter sanitary sewer, by open-cut (Pressure rated)","6""",Unspecified,Open Cut,LF,61.0,126.78,126.78,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"6-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","6""",Unspecified,Open Cut,LF,160.0,143.78,143.78,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,6-inch diameter water line by trenchless construction,"6""",Unspecified,Open Cut,LF,55.0,250.0,250.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"6-inch diameter sanitary sewer, by open-cut","6""",Unspecified,Open Cut,LF,1150.0,130.0,130.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"6-inch diameter 150psi sanitary sewer, by open cut","6""",Unspecified,Open Cut,LF,150.0,80.0,80.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"6-inch diameter sanitary sewer (service line), by open cut","6""",Unspecified,Open Cut,LF,505.0,100.0,100.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install 60-Inch Carrier Pipe in a Tunnel With Primary Liner, Including Tunnel Shafts, Restrained Joints, and Appurtenances, Complete in Place","60""",Unspecified,Tunnel,LF,3151.0,3325.0,3325.0,3000.0,3350.0,5900.0,5900.0
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install 60-Inch Water Line Including Fittings, Restrained Joints and Appurtenances in Open Cut, With Standard Bedding and Backfill, Complete in Place","60""",Unspecified,Open Cut,LF,6359.0,650.0,650.0,861.0,725.0,950.0,1173.0
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"Furnish and Install Extra 60-Inch Water Line Fitting, All Angles, Complete in Place","60""",Unspecified,Open Cut,EA,5.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install 60-Inch Water Line Including Fittings, Restrained Joints and Appurtenances in Open Cut, With Standard Bedding and Backfill, Complete in Place","60""",Unspecified,Open Cut,LF,6359.0,650.0,650.0,861.0,725.0,950.0,1173.0
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install 60-Inch Carrier Pipe in a Tunnel With Primary Liner, Including Tunnel Shafts, Restrained Joints, and Appurtenances, Complete in Place","60""",Unspecified,Tunnel,LF,3151.0,3325.0,3325.0,3000.0,3350.0,5900.0,5900.0
W05_NHCRWA Project 28C - 60” WL.xlsx,2023,Waterline,"Furnish and Install Extra 60-Inch Water Line Fitting, All Angles, Complete in Place","60""",Unspecified,Open Cut,EA,5.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,66-inch by 48-inch steel tee fitting and adapters installation price adjustment for -24hr operation,"66""",Steel,Open Cut,LS,1.0,86963.43,86963.43,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut,"66""",Steel,Open Cut,LF,833.0,1160.56,1160.56,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut with epoxy/ polyurethane lining,"66""",Steel,Open Cut,LF,177.0,2291.89,2291.89,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut within limits of PPCA,"66""",Steel,Open Cut,LF,51.0,1108.0,1108.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,66-inch diameter steel water line by open-cut,"66""",Steel,Open Cut,LF,32.0,5300.0,5300.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel  with Steel Liner,"66""",Steel,Tunnel,LF,480.0,7515.56,7515.56,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel with epoxy/ polyurethane lining,"66""",Steel,Tunnel,LF,375.0,8131.56,8131.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut,"66""",Steel,Open Cut,LF,833.0,1160.56,1160.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut within limits of PPCA,"66""",Steel,Open Cut,LF,51.0,1108.0,1108.0,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Steel Water Line by open cut with epoxy/ polyurethane lining,"66""",Steel,Open Cut,LF,177.0,2291.89,2291.89,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel with epoxy/ polyurethane lining,"66""",Steel,Tunnel,LF,375.0,8131.56,8131.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch diameter Steel Water Line in Tunnel  with Steel Liner,"66""",Steel,Tunnel,LF,480.0,7515.56,7515.56,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,66-inch diameter steel water line by open-cut,"66""",Steel,Open Cut,LF,32.0,5300.0,5300.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,66-inch by 48-inch steel tee fitting and adapters installation price adjustment for -24hr operation,"66""",Steel,Open Cut,LS,1.0,86963.43,86963.43,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut,"66""",Unspecified,Open Cut,LF,3330.0,1053.11,1053.11,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut within limits of  PPCA,"66""",Unspecified,Open Cut,LF,426.0,1122.67,1122.67,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut,"66""",Unspecified,Open Cut,LF,3330.0,1053.11,1053.11,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,66-inch Diameter Water Line by open cut within limits of  PPCA,"66""",Unspecified,Open Cut,LF,426.0,1122.67,1122.67,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,72-inch diameter Steel water line by open-cut,"72""",Steel,Open Cut,LF,7622.0,1230.0,1230.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,72-inch diameter Steel water line by open-cut in PPCA limits,"72""",Steel,Open Cut,LF,212.0,1540.0,1540.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,72-inch diameter Steel water line in tunnel,"72""",Steel,Tunnel,LF,1615.0,4800.0,4800.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,72-inch diameter Steel water line in tunnel in PPCA limits,"72""",Steel,Tunnel,LF,182.0,5500.0,5500.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,Extra 72-inch steel pipe bends,"72""",Steel,Open Cut,EA,5.0,5000.0,5000.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,72-inch Dia. Steel Water Line by Open Cut,"72""",Steel,Open Cut,LF,3921.0,1450.0,1450.0,1960.0,1475.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,72-inch Dia. Steel Water Line by Open Cut within limits of PPCA,"72""",Steel,Open Cut,LF,2708.0,1460.0,1460.0,1960.0,1200.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,72-inch Dia. Steel Water Line in Tunnel,"72""",Steel,Tunnel,LF,360.0,6000.0,6000.0,4500.0,4500.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,72-inch Dia. Steel Water Line in Tunnel at US-59,"72""",Steel,Tunnel,LF,755.0,7500.0,7500.0,7500.0,11000.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,72-inch Dia. Steel Water Line in Tunnel at US-59 within limits of PPCA,"72""",Steel,Tunnel,LF,64.0,6000.0,6000.0,5000.0,8000.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,72-inch diameter steel water line by open-cut,"72""",Steel,Open Cut,LF,7795.0,1125.0,1125.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,72-inch diameter steel water line in tunnel,"72""",Steel,Tunnel,LF,375.0,5375.0,5375.0,,,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,72-inch Dia. Steel Water Line by Open Cut,"72""",Steel,Open Cut,LF,3921.0,1450.0,1450.0,1960.0,1475.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,72-inch Dia. Steel Water Line by Open Cut within limits of PPCA,"72""",Steel,Open Cut,LF,2708.0,1460.0,1460.0,1960.0,1200.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,72-inch Dia. Steel Water Line in Tunnel,"72""",Steel,Tunnel,LF,360.0,6000.0,6000.0,4500.0,4500.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,72-inch Dia. Steel Water Line in Tunnel at US-59,"72""",Steel,Tunnel,LF,755.0,7500.0,7500.0,7500.0,11000.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,72-inch Dia. Steel Water Line in Tunnel at US-59 within limits of PPCA,"72""",Steel,Tunnel,LF,64.0,6000.0,6000.0,5000.0,8000.0,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,72-inch diameter Steel water line in tunnel,"72""",Steel,Tunnel,LF,1615.0,4800.0,4800.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,72-inch diameter Steel water line in tunnel in PPCA limits,"72""",Steel,Tunnel,LF,182.0,5500.0,5500.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,72-inch diameter Steel water line by open-cut,"72""",Steel,Open Cut,LF,7622.0,1230.0,1230.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,72-inch diameter Steel water line by open-cut in PPCA limits,"72""",Steel,Open Cut,LF,212.0,1540.0,1540.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,Extra 72-inch steel pipe bends,"72""",Steel,Open Cut,EA,5.0,5000.0,5000.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,72-inch diameter steel water line by open-cut,"72""",Steel,Open Cut,LF,7795.0,1125.0,1125.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,72-inch diameter steel water line in tunnel,"72""",Steel,Tunnel,LF,375.0,5375.0,5375.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Ductile Iron,Open Cut,LF,105.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Ductile Iron,Open Cut,LF,20.0,200.0,200.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,135.0,125.0,125.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,"8-inch diameter 150 psi sanitary sewer by open-cut in
DIP casing","8""",Ductile Iron,Cased Crossing,LF,30.0,380.0,380.0,300.0,330.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"8-inch diameter DIP sanitary sewer, by open-cut","8""",Ductile Iron,Open Cut,LF,525.0,225.0,225.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Ductile Iron,Open Cut,LF,123.0,120.0,120.0,160.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,625.0,135.0,135.0,200.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,40.0,192.92,192.92,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,2235.0,240.0,240.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"8""",Ductile Iron,Open Cut,LF,2809.0,135.0,135.0,200.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,625.0,135.0,135.0,200.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Ductile Iron,Open Cut,LF,123.0,120.0,120.0,160.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints within limits of PPCA,"8""",Ductile Iron,Open Cut,LF,2809.0,135.0,135.0,200.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,"8-inch diameter 150 psi sanitary sewer by open-cut in
DIP casing","8""",Ductile Iron,Cased Crossing,LF,30.0,380.0,380.0,300.0,330.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,40.0,192.92,192.92,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter DIP water line by open-cut with restrained joints,"8""",Ductile Iron,Open Cut,LF,105.0,200.0,200.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,135.0,125.0,125.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,8-inch diameter DIP water line by trenchless construction with restrained joints,"8""",Ductile Iron,Open Cut,LF,2235.0,240.0,240.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"8-inch diameter DIP sanitary sewer, by open-cut","8""",Ductile Iron,Open Cut,LF,525.0,225.0,225.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"8-inch diameter sanitary sewer within 16-inch steel casing, by open-cut","8""",Steel,Cased Crossing,LF,50.0,320.0,320.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"8-inch diameter sanitary sewer within 16-inch steel casing, by open-cut","8""",Steel,Cased Crossing,LF,50.0,320.0,320.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"8-inch diameter 150psi sanitary sewer, by open cut","8""",Unspecified,Open Cut,LF,1130.0,90.0,90.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2014,Waterline,8-inch Diameter Sanitary Sewer by Open-Cut,"8""",Unspecified,Open Cut,LF,40.0,132.26,132.26,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,1136.0,145.0,145.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter water line by open-cut,"8""",Unspecified,Open Cut,LF,64.0,450.0,450.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2021,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,1337.0,175.0,175.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,910.0,167.0,167.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated)","8""",Unspecified,Open Cut,LF,255.0,151.22,151.22,,,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","8""",Unspecified,Open Cut,LF,20.0,188.02,188.02,,,,
INTERNAL BID TAB DATABASE.xlsx,2024,Waterline,8-inch diameter water line by open cut construction w/ restrained joints,"8""",Unspecified,Open Cut,LF,114.0,150.0,150.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,109.0,140.0,140.0,120.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,2191.0,100.0,100.0,170.0,100.0,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,4880.0,95.0,95.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,1538.0,120.0,120.0,170.0,130.0,,
INTERNAL BID TAB DATABASE.xlsx,2023,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,283.0,139.56,139.56,,,,
INTERNAL BID TAB DATABASE.xlsx,2022,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,720.0,120.0,120.0,,,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer,"8""",Unspecified,Open Cut,LF,847.0,150.0,150.0,150.0,135.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated),"8""",Unspecified,Open Cut,LF,296.0,220.0,220.0,150.0,135.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated) in PPCA,"8""",Unspecified,Open Cut,LF,110.0,230.0,230.0,250.0,220.0,,
INTERNAL BID TAB DATABASE.xlsx,2019,Waterline,8-inch Sanitary Sewer by Open-Cut within limits of PPCA,"8""",Unspecified,Open Cut,LF,204.0,155.0,155.0,250.0,220.0,,
W01_108inch WL from Milner Rd to Aldine Westfield.xlsx,2024,Waterline,8-inch diameter water line by open cut construction w/ restrained joints,"8""",Unspecified,Open Cut,LF,114.0,150.0,150.0,,,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,2191.0,100.0,100.0,170.0,100.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter water line by open-cut with restrained joints,"8""",Unspecified,Open Cut,LF,109.0,140.0,140.0,120.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,1538.0,120.0,120.0,170.0,130.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated),"8""",Unspecified,Open Cut,LF,296.0,220.0,220.0,150.0,135.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer (Pressure Rated) in PPCA,"8""",Unspecified,Open Cut,LF,110.0,230.0,230.0,250.0,220.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer,"8""",Unspecified,Open Cut,LF,847.0,150.0,150.0,150.0,135.0,,
W02_72-inch SWTP Contract 9E_Bid Tabs.xlsx,2019,Waterline,8-inch Sanitary Sewer by Open-Cut within limits of PPCA,"8""",Unspecified,Open Cut,LF,204.0,155.0,155.0,250.0,220.0,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,283.0,139.56,139.56,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated)","8""",Unspecified,Open Cut,LF,255.0,151.22,151.22,,,,
W03_COH 66-inch Bid Tab.xlsx,2023,Waterline,"8-inch diameter sanitary sewer, by open-cut (Pressure rated) in PPCA","8""",Unspecified,Open Cut,LF,20.0,188.02,188.02,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,1337.0,175.0,175.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,8-inch diameter water line by open-cut,"8""",Unspecified,Open Cut,LF,64.0,450.0,450.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,1136.0,145.0,145.0,,,,
"W06_S-000900-0134-3_72-inch Water Line along Tuam, Fannin, Holman, Emerson, Garrott, Hawthorne, Audubon, and Kipling from Crawford to Mt. Vernon.xlsx",2021,Waterline,"8-inch diameter 150psi sanitary sewer, by open cut","8""",Unspecified,Open Cut,LF,1130.0,90.0,90.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,8-inch diameter water line by trenchless construction,"8""",Unspecified,Open Cut,LF,4880.0,95.0,95.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,8-inch diameter water line by trenchless construction with restrained joints,"8""",Unspecified,Open Cut,LF,720.0,120.0,120.0,,,,
"W07_S-000900-0135-4_72-inch Water Line along Kipling, Woodhead, and Branard from Mt. Vernon to Greenbria.xlsx",2022,Waterline,"8-inch diameter sanitary sewer, by open-cut","8""",Unspecified,Open Cut,LF,910.0,167.0,167.0,,,,
